term,Jamo,alphabet
디웨,ㄷㅣㅇㅜㅓㅣ,ELDNJL
딱지,ㄷㄷㅏㄱㅈㅣ,EEKRWL
때기,ㄷㄷㅏㅣㄱㅣ,EEKLRL
라느니,ㄹㅏㄴㅡㄴㅣ,FKSMSL
라스라,ㄹㅏㅅㅡㄹㅏ,FKTMFK
라우요,ㄹㅏㅇㅜㅇㅛ,FKDNDY
랍데,ㄹㅏㅂㄷㅓㅣ,FKQEJL
래문,ㄹㅏㅣㅁㅜㄴ,FKLANS
러니라,ㄹㅓㄴㅣㄹㅏ,FJSLFK
러시니,ㄹㅓㅅㅣㄴㅣ,FJTLSL
러시다,ㄹㅓㅅㅣㄷㅏ,FJTLEK
러이다,ㄹㅓㅇㅣㄷㅏ,FJDLEK
런들,ㄹㅓㄴㄷㅡㄹ,FJSEMF
려니오,ㄹㅕㄴㅣㅇㅗ,FUSLDH
려무나,ㄹㅕㅁㅜㄴㅏ,FUANSK
려므나,ㄹㅕㅁㅡㄴㅏ,FUAMSK
련만,ㄹㅕㄴㅁㅏㄴ,FUSAKS
렴은,ㄹㅕㅁㅇㅡㄴ,FUADMS
롓다,ㄹㅕㅣㅅㄷㅏ,FULTEK
로고나,ㄹㅗㄱㅗㄴㅏ,FHRHSK
로구나,ㄹㅗㄱㅜㄴㅏ,FHRNSK
로구려,ㄹㅗㄱㅜㄹㅕ,FHRNFU
로구료,ㄹㅗㄱㅜㄹㅛ,FHRNFY
로서니,ㄹㅗㅅㅓㄴㅣ,FHTJSL
로소니,ㄹㅗㅅㅗㄴㅣ,FHTHSL
리니라,ㄹㅣㄴㅣㄹㅏ,FLSLFK
리러니,ㄹㅣㄹㅓㄴㅣ,FLFJSL
리러라,ㄹㅣㄹㅓㄹㅏ,FLFJFK
리로다,ㄹㅣㄹㅗㄷㅏ,FLFHEK
리어니,ㄹㅣㅇㅓㄴㅣ,FLDJSL
리어다,ㄹㅣㅇㅓㄷㅏ,FLDJEK
리어며,ㄹㅣㅇㅓㅁㅕ,FLDJAU
리이다,ㄹㅣㅇㅣㄷㅏ,FLDLEK
메선,ㅁㅓㅣㅅㅓㄴ,AJLTJS
면은,ㅁㅕㄴㅇㅡㄴ,AUSDMS
바가지,ㅂㅏㄱㅏㅈㅣ,QKRKWL
뱅이,ㅂㅏㅣㅇㅇㅣ,QKLDDL
빼기,ㅂㅂㅏㅣㄱㅣ,QQKLRL
사이다,ㅅㅏㅇㅣㄷㅏ,TKDLEK
샤리라,ㅅㅑㄹㅣㄹㅏ,TIFLFK
소웨,ㅅㅗㅇㅜㅓㅣ,THDNJL
소이다,ㅅㅗㅇㅣㄷㅏ,THDLEK
송와,ㅅㅗㅇㅇㅗㅏ,THDDHK
슴둥,ㅅㅡㅁㄷㅜㅇ,TMAEND
슴메,ㅅㅡㅁㅁㅓㅣ,TMAAJL
습네,ㅅㅡㅂㄴㅓㅣ,TMQSJL
습데,ㅅㅡㅂㄷㅓㅣ,TMQEJL
습세,ㅅㅡㅂㅅㅓㅣ,TMQTJL
시라요,ㅅㅣㄹㅏㅇㅛ,TLFKDY
시려뇨,ㅅㅣㄹㅕㄴㅛ,TLFUSY
시리여,ㅅㅣㄹㅣㅇㅕ,TLFLDU
시리오,ㅅㅣㄹㅣㅇㅗ,TLFLDH
시어요,ㅅㅣㅇㅓㅇㅛ,TLDJDY
시이소,ㅅㅣㅇㅣㅅㅗ,TLDLTH
시키다,ㅅㅣㅋㅣㄷㅏ,TLZLEK
신대,ㅅㅣㄴㄷㅏㅣ,TLSEKL
아다가,ㅇㅏㄷㅏㄱㅏ,DKEKRK
아디라,ㅇㅏㄷㅣㄹㅏ,DKELFK
아라우,ㅇㅏㄹㅏㅇㅜ,DKFKDN
아리아,ㅇㅏㄹㅣㅇㅏ,DKFLDK
아리여,ㅇㅏㄹㅣㅇㅕ,DKFLDU
아스라,ㅇㅏㅅㅡㄹㅏ,DKTMFK
아시나,ㅇㅏㅅㅣㄴㅏ,DKTLSK
아시뇨,ㅇㅏㅅㅣㄴㅛ,DKTLSY
아시니,ㅇㅏㅅㅣㄴㅣ,DKTLSL
아시라,ㅇㅏㅅㅣㄹㅏ,DKTLFK
