term,Jamo,alphabet
다지다,ㄷㅏㅈㅣㄷㅏ,EKWLEK
다치다,ㄷㅏㅊㅣㄷㅏ,EKCLEK
다카르,ㄷㅏㅋㅏㄹㅡ,EKZKFM
다키아,ㄷㅏㅋㅣㅇㅏ,EKZLDK
다타다,ㄷㅏㅌㅏㄷㅏ,EKXKEK
다타키,ㄷㅏㅌㅏㅋㅣ,EKXKZL
다토다,ㄷㅏㅌㅗㄷㅏ,EKXHEK
다투다,ㄷㅏㅌㅜㄷㅏ,EKXNEK
다티다,ㄷㅏㅌㅣㄷㅏ,EKXLEK
다하나,ㄷㅏㅎㅏㄴㅏ,EKGKSK
다하르,ㄷㅏㅎㅏㄹㅡ,EKGKFM
다핵,ㄷㅏㅎㅏㅣㄱ,EKGKLR
다행,ㄷㅏㅎㅏㅣㅇ,EKGKLD
다황,ㄷㅏㅎㅗㅏㅇ,EKGHKD
다후다,ㄷㅏㅎㅜㄷㅏ,EKGNEK
다흐마,ㄷㅏㅎㅡㅁㅏ,EKGMAK
다히다,ㄷㅏㅎㅣㄷㅏ,EKGLEK
닥굿,ㄷㅏㄱㄱㅜㅅ,EKRRNT
닥날,ㄷㅏㄱㄴㅏㄹ,EKRSKF
닥낭,ㄷㅏㄱㄴㅏㅇ,EKRSKD
닥닥,ㄷㅏㄱㄷㅏㄱ,EKREKR
닥돔,ㄷㅏㄱㄷㅗㅁ,EKREHA
닥띠,ㄷㅏㄱㄷㄷㅣ,EKREEL
닥막,ㄷㅏㄱㅁㅏㄱ,EKRAKR
닥망,ㄷㅏㄱㅁㅏㅇ,EKRAKD
닥발,ㄷㅏㄱㅂㅏㄹ,EKRQKF
닥밭,ㄷㅏㄱㅂㅏㅌ,EKRQKX
닥살,ㄷㅏㄱㅅㅏㄹ,EKRTKF
닥솔,ㄷㅏㄱㅅㅗㄹ,EKRTHF
닥알,ㄷㅏㄱㅇㅏㄹ,EKRDKF
닥장,ㄷㅏㄱㅈㅏㅇ,EKRWKD
닥죽,ㄷㅏㄱㅈㅜㄱ,EKRWNR
닥집,ㄷㅏㄱㅈㅣㅂ,EKRWLQ
닥채,ㄷㅏㄱㅊㅏㅣ,EKRCKL
닥쿨,ㄷㅏㄱㅋㅜㄹ,EKRZNF
닥풀,ㄷㅏㄱㅍㅜㄹ,EKRVNF
닥풀,ㄷㅏㄱㅍㅜㄹ,EKRVNF
닥해,ㄷㅏㄱㅎㅏㅣ,EKRGKL
닥달,ㄷㅏㄱㄷㅏㄹ,EKREKF
닥대,ㄷㅏㄱㄷㅏㅣ,EKREKL
닥산,ㄷㅏㄱㅅㅏㄴ,EKRTKS
닦이,ㄷㅏㄱㄱㅇㅣ,EKRRDL
닦다,ㄷㅏㄱㄱㄷㅏ,EKRREK
단감,ㄷㅏㄴㄱㅏㅁ,EKSRKA
단것,ㄷㅏㄴㄱㅓㅅ,EKSRJT
단국,ㄷㅏㄴㄱㅜㄱ,EKSRNR
단김,ㄷㅏㄴㄱㅣㅁ,EKSRLA
단내,ㄷㅏㄴㄴㅏㅣ,EKSSKL
단돈,ㄷㅏㄴㄷㅗㄴ,EKSEHS
단동,ㄷㅏㄴㄷㅗㅇ,EKSEHD
단둘,ㄷㅏㄴㄷㅜㄹ,EKSENF
단띠,ㄷㅏㄴㄷㄷㅣ,EKSEEL
단맛,ㄷㅏㄴㅁㅏㅅ,EKSAKT
단매,ㄷㅏㄴㅁㅏㅣ,EKSAKL
단목,ㄷㅏㄴㅁㅗㄱ,EKSAHR
단물,ㄷㅏㄴㅁㅜㄹ,EKSANF
단물,ㄷㅏㄴㅁㅜㄹ,EKSANF
단박,ㄷㅏㄴㅂㅏㄱ,EKSQKR
단밤,ㄷㅏㄴㅂㅏㅁ,EKSQKA
단밥,ㄷㅏㄴㅂㅏㅂ,EKSQKQ
단배,ㄷㅏㄴㅂㅏㅣ,EKSQKL
단벌,ㄷㅏㄴㅂㅓㄹ,EKSQJF
단분,ㄷㅏㄴㅂㅜㄴ,EKSQNS
단불,ㄷㅏㄴㅂㅜㄹ,EKSQNF
단살,ㄷㅏㄴㅅㅏㄹ,EKSTKF
단손,ㄷㅏㄴㅅㅗㄴ,EKSTHS
단솥,ㄷㅏㄴㅅㅗㅌ,EKSTHX
단쇠,ㄷㅏㄴㅅㅗㅣ,EKSTHL
단술,ㄷㅏㄴㅅㅜㄹ,EKSTNF
단씨,ㄷㅏㄴㅅㅅㅣ,EKSTTL
단잠,ㄷㅏㄴㅈㅏㅁ,EKSWKA
단장,ㄷㅏㄴㅈㅏㅇ,EKSWKD
단적,ㄷㅏㄴㅈㅓㄱ,EKSWJR
단적,ㄷㅏㄴㅈㅓㄱ,EKSWJR
단줄,ㄷㅏㄴㅈㅜㄹ,EKSWNF
단촉,ㄷㅏㄴㅊㅗㄱ,EKSCHR
단춤,ㄷㅏㄴㅊㅜㅁ,EKSCNA
단침,ㄷㅏㄴㅊㅣㅁ,EKSCLA
단칸,ㄷㅏㄴㅋㅏㄴ,EKSZKS
단칼,ㄷㅏㄴㅋㅏㄹ,EKSZKF
단콩,ㄷㅏㄴㅋㅗㅇ,EKSZHD
단태,ㄷㅏㄴㅌㅏㅣ,EKSXKL
단통,ㄷㅏㄴㅌㅗㅇ,EKSXHD
단통,ㄷㅏㄴㅌㅗㅇ,EKSXHD
단틀,ㄷㅏㄴㅌㅡㄹ,EKSXMF
단판,ㄷㅏㄴㅍㅏㄴ,EKSVKS
단판,ㄷㅏㄴㅍㅏㄴ,EKSVKS
단팥,ㄷㅏㄴㅍㅏㅌ,EKSVKX
단휘,ㄷㅏㄴㅎㅜㅣ,EKSGNL
단각,ㄷㅏㄴㄱㅏㄱ,EKSRKR
단각,ㄷㅏㄴㄱㅏㄱ,EKSRKR
단각,ㄷㅏㄴㄱㅏㄱ,EKSRKR
단간,ㄷㅏㄴㄱㅏㄴ,EKSRKS
단간,ㄷㅏㄴㄱㅏㄴ,EKSRKS
단간,ㄷㅏㄴㄱㅏㄴ,EKSRKS
단갈,ㄷㅏㄴㄱㅏㄹ,EKSRKF
단갈,ㄷㅏㄴㄱㅏㄹ,EKSRKF
단감,ㄷㅏㄴㄱㅏㅁ,EKSRKA
단갑,ㄷㅏㄴㄱㅏㅂ,EKSRKQ
단갑,ㄷㅏㄴㄱㅏㅂ,EKSRKQ
단강,ㄷㅏㄴㄱㅏㅇ,EKSRKD
단개,ㄷㅏㄴㄱㅏㅣ,EKSRKL
단건,ㄷㅏㄴㄱㅓㄴ,EKSRJS
단검,ㄷㅏㄴㄱㅓㅁ,EKSRJA
단게,ㄷㅏㄴㄱㅓㅣ,EKSRJL
단격,ㄷㅏㄴㄱㅕㄱ,EKSRUR
단견,ㄷㅏㄴㄱㅕㄴ,EKSRUS
단견,ㄷㅏㄴㄱㅕㄴ,EKSRUS
단결,ㄷㅏㄴㄱㅕㄹ,EKSRUF
단결,ㄷㅏㄴㄱㅕㄹ,EKSRUF
단경,ㄷㅏㄴㄱㅕㅇ,EKSRUD
단경,ㄷㅏㄴㄱㅕㅇ,EKSRUD
단경,ㄷㅏㄴㄱㅕㅇ,EKSRUD
단경,ㄷㅏㄴㄱㅕㅇ,EKSRUD
단계,ㄷㅏㄴㄱㅕㅣ,EKSRUL
단계,ㄷㅏㄴㄱㅕㅣ,EKSRUL
단곡,ㄷㅏㄴㄱㅗㄱ,EKSRHR
단골,ㄷㅏㄴㄱㅗㄹ,EKSRHF
단골,ㄷㅏㄴㄱㅗㄹ,EKSRHF
단골,ㄷㅏㄴㄱㅗㄹ,EKSRHF
단골,ㄷㅏㄴㄱㅗㄹ,EKSRHF
단공,ㄷㅏㄴㄱㅗㅇ,EKSRHD
단공,ㄷㅏㄴㄱㅗㅇ,EKSRHD
단공,ㄷㅏㄴㄱㅗㅇ,EKSRHD
단공,ㄷㅏㄴㄱㅗㅇ,EKSRHD
단공,ㄷㅏㄴㄱㅗㅇ,EKSRHD
단공,ㄷㅏㄴㄱㅗㅇ,EKSRHD
단과,ㄷㅏㄴㄱㅗㅏ,EKSRHK
단과,ㄷㅏㄴㄱㅗㅏ,EKSRHK
단과,ㄷㅏㄴㄱㅗㅏ,EKSRHK
단괴,ㄷㅏㄴㄱㅗㅣ,EKSRHL
단국,ㄷㅏㄴㄱㅜㄱ,EKSRNR
단군,ㄷㅏㄴㄱㅜㄴ,EKSRNS
단군,ㄷㅏㄴㄱㅜㄴ,EKSRNS
단궁,ㄷㅏㄴㄱㅜㅇ,EKSRND
단귀,ㄷㅏㄴㄱㅜㅣ,EKSRNL
단귀,ㄷㅏㄴㄱㅜㅣ,EKSRNL
단극,ㄷㅏㄴㄱㅡㄱ,EKSRMR
단근,ㄷㅏㄴㄱㅡㄴ,EKSRMS
단근,ㄷㅏㄴㄱㅡㄴ,EKSRMS
단근,ㄷㅏㄴㄱㅡㄴ,EKSRMS
단근,ㄷㅏㄴㄱㅡㄴ,EKSRMS
단근,ㄷㅏㄴㄱㅡㄴ,EKSRMS
단금,ㄷㅏㄴㄱㅡㅁ,EKSRMA
단급,ㄷㅏㄴㄱㅡㅂ,EKSRMQ
단년,ㄷㅏㄴㄴㅕㄴ,EKSSUS
단념,ㄷㅏㄴㄴㅕㅁ,EKSSUA
단념,ㄷㅏㄴㄴㅕㅁ,EKSSUA
단녕,ㄷㅏㄴㄴㅕㅇ,EKSSUD
단뇌,ㄷㅏㄴㄴㅗㅣ,EKSSHL
단능,ㄷㅏㄴㄴㅡㅇ,EKSSMD
단님,ㄷㅏㄴㄴㅣㅁ,EKSSLA
단답,ㄷㅏㄴㄷㅏㅂ,EKSEKQ
단당,ㄷㅏㄴㄷㅏㅇ,EKSEKD
단당,ㄷㅏㄴㄷㅏㅇ,EKSEKD
단대,ㄷㅏㄴㄷㅏㅣ,EKSEKL
단대,ㄷㅏㄴㄷㅏㅣ,EKSEKL
단대,ㄷㅏㄴㄷㅏㅣ,EKSEKL
단댱,ㄷㅏㄴㄷㅑㅇ,EKSEID
단덕,ㄷㅏㄴㄷㅓㄱ,EKSEJR
단독,ㄷㅏㄴㄷㅗㄱ,EKSEHR
단독,ㄷㅏㄴㄷㅗㄱ,EKSEHR
단동,ㄷㅏㄴㄷㅗㅇ,EKSEHD
단동,ㄷㅏㄴㄷㅗㅇ,EKSEHD
단동,ㄷㅏㄴㄷㅗㅇ,EKSEHD
단둥,ㄷㅏㄴㄷㅜㅇ,EKSEND
단딘,ㄷㅏㄴㄷㅣㄴ,EKSELS
단락,ㄷㅏㄴㄹㅏㄱ,EKSFKR
단락,ㄷㅏㄴㄹㅏㄱ,EKSFKR
단락,ㄷㅏㄴㄹㅏㄱ,EKSFKR
단락,ㄷㅏㄴㄹㅏㄱ,EKSFKR
단량,ㄷㅏㄴㄹㅑㅇ,EKSFID
단련,ㄷㅏㄴㄹㅕㄴ,EKSFUS
단련,ㄷㅏㄴㄹㅕㄴ,EKSFUS
단련,ㄷㅏㄴㄹㅕㄴ,EKSFUS
단령,ㄷㅏㄴㄹㅕㅇ,EKSFUD
단례,ㄷㅏㄴㄹㅕㅣ,EKSFUL
단록,ㄷㅏㄴㄹㅗㄱ,EKSFHR
단립,ㄷㅏㄴㄹㅣㅂ,EKSFLQ
단막,ㄷㅏㄴㅁㅏㄱ,EKSAKR
단말,ㄷㅏㄴㅁㅏㄹ,EKSAKF
단말,ㄷㅏㄴㅁㅏㄹ,EKSAKF
단말,ㄷㅏㄴㅁㅏㄹ,EKSAKF
단망,ㄷㅏㄴㅁㅏㅇ,EKSAKD
단망,ㄷㅏㄴㅁㅏㅇ,EKSAKD
단매,ㄷㅏㄴㅁㅏㅣ,EKSAKL
단면,ㄷㅏㄴㅁㅕㄴ,EKSAUS
단면,ㄷㅏㄴㅁㅕㄴ,EKSAUS
단면,ㄷㅏㄴㅁㅕㄴ,EKSAUS
단멸,ㄷㅏㄴㅁㅕㄹ,EKSAUF
단명,ㄷㅏㄴㅁㅕㅇ,EKSAUD
단명,ㄷㅏㄴㅁㅕㅇ,EKSAUD
단몌,ㄷㅏㄴㅁㅕㅣ,EKSAUL
단목,ㄷㅏㄴㅁㅗㄱ,EKSAHR
단목,ㄷㅏㄴㅁㅗㄱ,EKSAHR
단몸,ㄷㅏㄴㅁㅗㅁ,EKSAHA
단묵,ㄷㅏㄴㅁㅜㄱ,EKSANR
단문,ㄷㅏㄴㅁㅜㄴ,EKSANS
단문,ㄷㅏㄴㅁㅜㄴ,EKSANS
단문,ㄷㅏㄴㅁㅜㄴ,EKSANS
단문,ㄷㅏㄴㅁㅜㄴ,EKSANS
단물,ㄷㅏㄴㅁㅜㄹ,EKSANF
단민,ㄷㅏㄴㅁㅣㄴ,EKSALS
단박,ㄷㅏㄴㅂㅏㄱ,EKSQKR
단발,ㄷㅏㄴㅂㅏㄹ,EKSQKF
단발,ㄷㅏㄴㅂㅏㄹ,EKSQKF
단방,ㄷㅏㄴㅂㅏㅇ,EKSQKD
단방,ㄷㅏㄴㅂㅏㅇ,EKSQKD
단배,ㄷㅏㄴㅂㅏㅣ,EKSQKL
단번,ㄷㅏㄴㅂㅓㄴ,EKSQJS
단법,ㄷㅏㄴㅂㅓㅂ,EKSQJQ
단벽,ㄷㅏㄴㅂㅕㄱ,EKSQUR
단변,ㄷㅏㄴㅂㅕㄴ,EKSQUS
단별,ㄷㅏㄴㅂㅕㄹ,EKSQUF
단병,ㄷㅏㄴㅂㅕㅇ,EKSQUD
단복,ㄷㅏㄴㅂㅗㄱ,EKSQHR
단복,ㄷㅏㄴㅂㅗㄱ,EKSQHR
단본,ㄷㅏㄴㅂㅗㄴ,EKSQHS
단본,ㄷㅏㄴㅂㅗㄴ,EKSQHS
단봉,ㄷㅏㄴㅂㅗㅇ,EKSQHD
단삭,ㄷㅏㄴㅅㅏㄱ,EKSTKR
단산,ㄷㅏㄴㅅㅏㄴ,EKSTKS
단삼,ㄷㅏㄴㅅㅏㅁ,EKSTKA
단삼,ㄷㅏㄴㅅㅏㅁ,EKSTKA
단삼,ㄷㅏㄴㅅㅏㅁ,EKSTKA
단상,ㄷㅏㄴㅅㅏㅇ,EKSTKD
단상,ㄷㅏㄴㅅㅏㅇ,EKSTKD
단상,ㄷㅏㄴㅅㅏㅇ,EKSTKD
단상,ㄷㅏㄴㅅㅏㅇ,EKSTKD
단상,ㄷㅏㄴㅅㅏㅇ,EKSTKD
단석,ㄷㅏㄴㅅㅓㄱ,EKSTJR
단석,ㄷㅏㄴㅅㅓㄱ,EKSTJR
단선,ㄷㅏㄴㅅㅓㄴ,EKSTJS
단선,ㄷㅏㄴㅅㅓㄴ,EKSTJS
단선,ㄷㅏㄴㅅㅓㄴ,EKSTJS
단설,ㄷㅏㄴㅅㅓㄹ,EKSTJF
단설,ㄷㅏㄴㅅㅓㄹ,EKSTJF
단성,ㄷㅏㄴㅅㅓㅇ,EKSTJD
단성,ㄷㅏㄴㅅㅓㅇ,EKSTJD
단성,ㄷㅏㄴㅅㅓㅇ,EKSTJD
단세,ㄷㅏㄴㅅㅓㅣ,EKSTJL
단세,ㄷㅏㄴㅅㅓㅣ,EKSTJL
단속,ㄷㅏㄴㅅㅗㄱ,EKSTHR
단손,ㄷㅏㄴㅅㅗㄴ,EKSTHS
단송,ㄷㅏㄴㅅㅗㅇ,EKSTHD
단순,ㄷㅏㄴㅅㅜㄴ,EKSTNS
단숨,ㄷㅏㄴㅅㅜㅁ,EKSTNA
단쉬,ㄷㅏㄴㅅㅜㅣ,EKSTNL
단승,ㄷㅏㄴㅅㅡㅇ,EKSTMD
단식,ㄷㅏㄴㅅㅣㄱ,EKSTLR
단식,ㄷㅏㄴㅅㅣㄱ,EKSTLR
단식,ㄷㅏㄴㅅㅣㄱ,EKSTLR
단식,ㄷㅏㄴㅅㅣㄱ,EKSTLR
단식,ㄷㅏㄴㅅㅣㄱ,EKSTLR
단식,ㄷㅏㄴㅅㅣㄱ,EKSTLR
단신,ㄷㅏㄴㅅㅣㄴ,EKSTLS
단실,ㄷㅏㄴㅅㅣㄹ,EKSTLF
단심,ㄷㅏㄴㅅㅣㅁ,EKSTLA
단악,ㄷㅏㄴㅇㅏㄱ,EKSDKR
단악,ㄷㅏㄴㅇㅏㄱ,EKSDKR
단안,ㄷㅏㄴㅇㅏㄴ,EKSDKS
단안,ㄷㅏㄴㅇㅏㄴ,EKSDKS
단안,ㄷㅏㄴㅇㅏㄴ,EKSDKS
단알,ㄷㅏㄴㅇㅏㄹ,EKSDKF
단압,ㄷㅏㄴㅇㅏㅂ,EKSDKQ
단애,ㄷㅏㄴㅇㅏㅣ,EKSDKL
단약,ㄷㅏㄴㅇㅑㄱ,EKSDIR
단양,ㄷㅏㄴㅇㅑㅇ,EKSDID
단양,ㄷㅏㄴㅇㅑㅇ,EKSDID
단언,ㄷㅏㄴㅇㅓㄴ,EKSDJS
단얼,ㄷㅏㄴㅇㅓㄹ,EKSDJF
단엄,ㄷㅏㄴㅇㅓㅁ,EKSDJA
단업,ㄷㅏㄴㅇㅓㅂ,EKSDJQ
단역,ㄷㅏㄴㅇㅕㄱ,EKSDUR
단연,ㄷㅏㄴㅇㅕㄴ,EKSDUS
단연,ㄷㅏㄴㅇㅕㄴ,EKSDUS
단연,ㄷㅏㄴㅇㅕㄴ,EKSDUS
단열,ㄷㅏㄴㅇㅕㄹ,EKSDUF
단열,ㄷㅏㄴㅇㅕㄹ,EKSDUF
단열,ㄷㅏㄴㅇㅕㄹ,EKSDUF
단엽,ㄷㅏㄴㅇㅕㅂ,EKSDUQ
단엽,ㄷㅏㄴㅇㅕㅂ,EKSDUQ
단영,ㄷㅏㄴㅇㅕㅇ,EKSDUD
단영,ㄷㅏㄴㅇㅕㅇ,EKSDUD
단예,ㄷㅏㄴㅇㅕㅣ,EKSDUL
단옥,ㄷㅏㄴㅇㅗㄱ,EKSDHR
단운,ㄷㅏㄴㅇㅜㄴ,EKSDNS
단위,ㄷㅏㄴㅇㅜㅣ,EKSDNL
단위,ㄷㅏㄴㅇㅜㅣ,EKSDNL
단음,ㄷㅏㄴㅇㅡㅁ,EKSDMA
단음,ㄷㅏㄴㅇㅡㅁ,EKSDMA
단음,ㄷㅏㄴㅇㅡㅁ,EKSDMA
단음,ㄷㅏㄴㅇㅡㅁ,EKSDMA
단의,ㄷㅏㄴㅇㅡㅣ,EKSDML
단의,ㄷㅏㄴㅇㅡㅣ,EKSDML
단인,ㄷㅏㄴㅇㅣㄴ,EKSDLS
단인,ㄷㅏㄴㅇㅣㄴ,EKSDLS
단일,ㄷㅏㄴㅇㅣㄹ,EKSDLF
단임,ㄷㅏㄴㅇㅣㅁ,EKSDLA
단작,ㄷㅏㄴㅈㅏㄱ,EKSWKR
단작,ㄷㅏㄴㅈㅏㄱ,EKSWKR
단잔,ㄷㅏㄴㅈㅏㄴ,EKSWKS
단잔,ㄷㅏㄴㅈㅏㄴ,EKSWKS
단장,ㄷㅏㄴㅈㅏㅇ,EKSWKD
단장,ㄷㅏㄴㅈㅏㅇ,EKSWKD
단장,ㄷㅏㄴㅈㅏㅇ,EKSWKD
단재,ㄷㅏㄴㅈㅏㅣ,EKSWKL
단재,ㄷㅏㄴㅈㅏㅣ,EKSWKL
단전,ㄷㅏㄴㅈㅓㄴ,EKSWJS
단전,ㄷㅏㄴㅈㅓㄴ,EKSWJS
단절,ㄷㅏㄴㅈㅓㄹ,EKSWJF
단점,ㄷㅏㄴㅈㅓㅁ,EKSWJA
단점,ㄷㅏㄴㅈㅓㅁ,EKSWJA
단접,ㄷㅏㄴㅈㅓㅂ,EKSWJQ
단정,ㄷㅏㄴㅈㅓㅇ,EKSWJD
단정,ㄷㅏㄴㅈㅓㅇ,EKSWJD
단정,ㄷㅏㄴㅈㅓㅇ,EKSWJD
단정,ㄷㅏㄴㅈㅓㅇ,EKSWJD
단제,ㄷㅏㄴㅈㅓㅣ,EKSWJL
단제,ㄷㅏㄴㅈㅓㅣ,EKSWJL
단족,ㄷㅏㄴㅈㅗㄱ,EKSWHR
단족,ㄷㅏㄴㅈㅗㄱ,EKSWHR
단종,ㄷㅏㄴㅈㅗㅇ,EKSWHD
단종,ㄷㅏㄴㅈㅗㅇ,EKSWHD
단종,ㄷㅏㄴㅈㅗㅇ,EKSWHD
단종,ㄷㅏㄴㅈㅗㅇ,EKSWHD
단종,ㄷㅏㄴㅈㅗㅇ,EKSWHD
단좌,ㄷㅏㄴㅈㅗㅏ,EKSWHK
단죄,ㄷㅏㄴㅈㅗㅣ,EKSWHL
단죽,ㄷㅏㄴㅈㅜㄱ,EKSWNR
단중,ㄷㅏㄴㅈㅜㅇ,EKSWND
단증,ㄷㅏㄴㅈㅡㅇ,EKSWMD
단직,ㄷㅏㄴㅈㅣㄱ,EKSWLR
단진,ㄷㅏㄴㅈㅣㄴ,EKSWLS
단찰,ㄷㅏㄴㅊㅏㄹ,EKSCKF
단참,ㄷㅏㄴㅊㅏㅁ,EKSCKA
단창,ㄷㅏㄴㅊㅏㅇ,EKSCKD
단창,ㄷㅏㄴㅊㅏㅇ,EKSCKD
단채,ㄷㅏㄴㅊㅏㅣ,EKSCKL
단척,ㄷㅏㄴㅊㅓㄱ,EKSCJR
단척,ㄷㅏㄴㅊㅓㄱ,EKSCJR
단천,ㄷㅏㄴㅊㅓㄴ,EKSCJS
단철,ㄷㅏㄴㅊㅓㄹ,EKSCJF
단철,ㄷㅏㄴㅊㅓㄹ,EKSCJF
단철,ㄷㅏㄴㅊㅓㄹ,EKSCJF
단첨,ㄷㅏㄴㅊㅓㅁ,EKSCJA
단첩,ㄷㅏㄴㅊㅓㅂ,EKSCJQ
단청,ㄷㅏㄴㅊㅓㅇ,EKSCJD
단청,ㄷㅏㄴㅊㅓㅇ,EKSCJD
단체,ㄷㅏㄴㅊㅓㅣ,EKSCJL
단체,ㄷㅏㄴㅊㅓㅣ,EKSCJL
단체,ㄷㅏㄴㅊㅓㅣ,EKSCJL
단체,ㄷㅏㄴㅊㅓㅣ,EKSCJL
단총,ㄷㅏㄴㅊㅗㅇ,EKSCHD
단축,ㄷㅏㄴㅊㅜㄱ,EKSCNR
단축,ㄷㅏㄴㅊㅜㄱ,EKSCNR
단축,ㄷㅏㄴㅊㅜㄱ,EKSCNR
단충,ㄷㅏㄴㅊㅜㅇ,EKSCND
단취,ㄷㅏㄴㅊㅜㅣ,EKSCNL
단층,ㄷㅏㄴㅊㅡㅇ,EKSCMD
단층,ㄷㅏㄴㅊㅡㅇ,EKSCMD
단층,ㄷㅏㄴㅊㅡㅇ,EKSCMD
단칠,ㄷㅏㄴㅊㅣㄹ,EKSCLF
단칭,ㄷㅏㄴㅊㅣㅇ,EKSCLD
단탑,ㄷㅏㄴㅌㅏㅂ,EKSXKQ
단태,ㄷㅏㄴㅌㅏㅣ,EKSXKL
단테,ㄷㅏㄴㅌㅓㅣ,EKSXJL
단톰,ㄷㅏㄴㅌㅗㅁ,EKSXHA
단특,ㄷㅏㄴㅌㅡㄱ,EKSXMR
단판,ㄷㅏㄴㅍㅏㄴ,EKSVKS
단판,ㄷㅏㄴㅍㅏㄴ,EKSVKS
단패,ㄷㅏㄴㅍㅏㅣ,EKSVKL
단패,ㄷㅏㄴㅍㅏㅣ,EKSVKL
단편,ㄷㅏㄴㅍㅕㄴ,EKSVUS
단편,ㄷㅏㄴㅍㅕㄴ,EKSVUS
단편,ㄷㅏㄴㅍㅕㄴ,EKSVUS
단평,ㄷㅏㄴㅍㅕㅇ,EKSVUD
단평,ㄷㅏㄴㅍㅕㅇ,EKSVUD
단폐,ㄷㅏㄴㅍㅕㅣ,EKSVUL
단풀,ㄷㅏㄴㅍㅜㄹ,EKSVNF
단품,ㄷㅏㄴㅍㅜㅁ,EKSVNA
단풍,ㄷㅏㄴㅍㅜㅇ,EKSVND
단풍,ㄷㅏㄴㅍㅜㅇ,EKSVND
단풍,ㄷㅏㄴㅍㅜㅇ,EKSVND
단필,ㄷㅏㄴㅍㅣㄹ,EKSVLF
단학,ㄷㅏㄴㅎㅏㄱ,EKSGKR
단학,ㄷㅏㄴㅎㅏㄱ,EKSGKR
단한,ㄷㅏㄴㅎㅏㄴ,EKSGKS
단할,ㄷㅏㄴㅎㅏㄹ,EKSGKF
단함,ㄷㅏㄴㅎㅏㅁ,EKSGKA
단합,ㄷㅏㄴㅎㅏㅂ,EKSGKQ
단항,ㄷㅏㄴㅎㅏㅇ,EKSGKD
단항,ㄷㅏㄴㅎㅏㅇ,EKSGKD
단해,ㄷㅏㄴㅎㅏㅣ,EKSGKL
단향,ㄷㅏㄴㅎㅑㅇ,EKSGID
단향,ㄷㅏㄴㅎㅑㅇ,EKSGID
단헌,ㄷㅏㄴㅎㅓㄴ,EKSGJS
단현,ㄷㅏㄴㅎㅕㄴ,EKSGUS
단혈,ㄷㅏㄴㅎㅕㄹ,EKSGUF
단형,ㄷㅏㄴㅎㅕㅇ,EKSGUD
단형,ㄷㅏㄴㅎㅕㅇ,EKSGUD
단혼,ㄷㅏㄴㅎㅗㄴ,EKSGHS
단홍,ㄷㅏㄴㅎㅗㅇ,EKSGHD
단화,ㄷㅏㄴㅎㅗㅏ,EKSGHK
단회,ㄷㅏㄴㅎㅗㅣ,EKSGHL
닫개,ㄷㅏㄷㄱㅏㅣ,EKERKL
닫줄,ㄷㅏㄷㅈㅜㄹ,EKEWNF
닫집,ㄷㅏㄷㅈㅣㅂ,EKEWLQ
닫힘,ㄷㅏㄷㅎㅣㅁ,EKEGLA
닫힘,ㄷㅏㄷㅎㅣㅁ,EKEGLA
달감,ㄷㅏㄹㄱㅏㅁ,EKFRKA
달갓,ㄷㅏㄹㄱㅏㅅ,EKFRKT
달개,ㄷㅏㄹㄱㅏㅣ,EKFRKL
달개,ㄷㅏㄹㄱㅏㅣ,EKFRKL
달국,ㄷㅏㄹㄱㅜㄱ,EKFRNR
달뉘,ㄷㅏㄹㄴㅜㅣ,EKFSNL
달님,ㄷㅏㄹㄴㅣㅁ,EKFSLA
달대,ㄷㅏㄹㄷㅏㅣ,EKFEKL
달돈,ㄷㅏㄹㄷㅗㄴ,EKFEHS
달돌,ㄷㅏㄹㄷㅗㄹ,EKFEHF
달띠,ㄷㅏㄹㄷㄷㅣ,EKFEEL
달막,ㄷㅏㄹㅁㅏㄱ,EKFAKR
달말,ㄷㅏㄹㅁㅏㄹ,EKFAKF
달매,ㄷㅏㄹㅁㅏㅣ,EKFAKL
달문,ㄷㅏㄹㅁㅜㄴ,EKFANS
달물,ㄷㅏㄹㅁㅜㄹ,EKFANF
달밑,ㄷㅏㄹㅁㅣㅌ,EKFALX
달발,ㄷㅏㄹㅂㅏㄹ,EKFQKF
달밤,ㄷㅏㄹㅂㅏㅁ,EKFQKA
달방,ㄷㅏㄹㅂㅏㅇ,EKFQKD
달밭,ㄷㅏㄹㅂㅏㅌ,EKFQKX
달변,ㄷㅏㄹㅂㅕㄴ,EKFQUS
달별,ㄷㅏㄹㅂㅕㄹ,EKFQUF
달별,ㄷㅏㄹㅂㅕㄹ,EKFQUF
달불,ㄷㅏㄹㅂㅜㄹ,EKFQNF
달빛,ㄷㅏㄹㅂㅣㅊ,EKFQLC
달삼,ㄷㅏㄹㅅㅏㅁ,EKFTKA
달세,ㄷㅏㄹㅅㅓㅣ,EKFTJL
달쇠,ㄷㅏㄹㅅㅗㅣ,EKFTHL
달연,ㄷㅏㄹㅇㅕㄴ,EKFDUS
달울,ㄷㅏㄹㅇㅜㄹ,EKFDNF
달장,ㄷㅏㄹㅈㅏㅇ,EKFWKD
달죽,ㄷㅏㄹㅈㅜㄱ,EKFWNR
달집,ㄷㅏㄹㅈㅣㅂ,EKFWLQ
달집,ㄷㅏㄹㅈㅣㅂ,EKFWLQ
달창,ㄷㅏㄹㅊㅏㅇ,EKFCKD
